"","Provincia","Comunidad_Autonoma","Longitud","Anchura","Grado_urbanizacion","Grado_ocupacion","Aparcamiento","Aparcamiento_seguridad","Aparcamiento_num_plazas","Coordenada_X","Coordenada_Y","Distancia_Puerto_Deportivo","Distancia_Hospital"
"1","santa cruz de tenerife","canarias",205,33,"semiurbana","medio","no","","",-16.8349,28.2068,4.5,29
"2","illes balears","illes balears",100,50,"urbana","alto","sí","no vigilado","Menos de 50 plazas",2.5914,39.5381,1.5,10
"3","gipuzkoa","país vasco/euskadi",12,8,"aislada","medio","no","","",-1.9226,43.3333,18,13
"4","granada","andalucía",511,120,"urbana","medio","sí","","Más de 100 plazas",-3.5319,36.7217,0.3,4
"5","pontevedra","galicia",80,14,"urbana","bajo","no","","",-8.8909,42.4938,NA,45
"6","pontevedra","galicia",85,20,"urbana","bajo","no","","",-8.8769,42.0029,NA,36.6
"7","pontevedra","galicia",200,45,"semiurbana","medio","sí","no vigilado","Menos de 50 plazas",-8.7774,41.9249,20,45
"8","pontevedra","galicia",50,31,"aislada","medio","sí","no vigilado","Menos de 50 plazas",-8.7484,41.9514,18,42
"9","murcia","murcia, región de",150,20,"aislada","medio","sí","","",-1.6294,37.3754,5,40
"10","murcia","murcia, región de",30,8,"aislada","bajo","no","","",-1.5413,37.4192,4,39
"11","murcia","murcia, región de",1,20,"aislada","bajo","sí","","",-0.7468,37.7806,3,51
"12","murcia","murcia, región de",800,30,"semiurbana","bajo","sí","no vigilado","Menos de 50 plazas",-0.7262,37.7465,0.5,50
"13","pontevedra","galicia",30,15,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",-8.7031,41.984,10,28
"14","almería","andalucía",1,45,"semiurbana","bajo","sí","no vigilado","Más de 100 plazas",-2.5847,36.7942,4,18
"15","huelva","andalucía",2,50,"aislada","bajo","no","","",-7.1854,37.2066,NA,42
"16","tarragona","cataluña/catalunya",500,30,"semiurbana","bajo","sí","no vigilado","Más de 100 plazas",0.5259,40.5475,0.2,50
"17","tarragona","cataluña/catalunya",1,150,"aislada","medio","no","","",0.7563,40.6416,NA,50
"18","tarragona","cataluña/catalunya",150,18,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",0.9028,40.9772,5,40
"19","illes balears","illes balears",75,20,"semiurbana","alto","sí","no vigilado","Menos de 50 plazas",2.5904,39.5359,2,10.3
"20","santa cruz de tenerife","canarias",1,50,"urbana","bajo","sí","no vigilado","Más de 100 plazas",-17.7622,28.6845,NA,12
"21","tarragona","cataluña/catalunya",70,18,"aislada","bajo","sí","no vigilado","Menos de 50 plazas",0.5145,40.5231,NA,50
